"severity","message","location","rule"
"info","'groupValue' is deprecated and shouldn't be used. Use a RadioGroup ancestor to manage group value instead. This feature was deprecated after v3.32.0-0.0.pre","lib\screens\login_form_screen.dart:493:21","deprecated_member_use"
"info","'onChanged' is deprecated and shouldn't be used. Use RadioGroup to handle value change instead. This feature was deprecated after v3.32.0-0.0.pre","lib\screens\login_form_screen.dart:494:21","deprecated_member_use"
"info","Don't use 'BuildContext's across async gaps","lib\screens\login_form_screen.dart:533:32","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\login_form_screen.dart:544:32","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\login_form_screen.dart:559:32","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\login_form_screen.dart:568:32","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\login_form_screen.dart:578:32","use_build_context_synchronously"
"info","Parameter 'key' could be a super parameter","lib\screens\login_screen.dart:8:9","use_super_parameters"
"info","Unnecessary braces in a string interpolation","lib\screens\notification_screen.dart:187:70","unnecessary_brace_in_string_interps"
"info","Unnecessary braces in a string interpolation","lib\screens\notification_screen.dart:189:76","unnecessary_brace_in_string_interps"
"info","Unnecessary braces in a string interpolation","lib\screens\notification_screen.dart:190:69","unnecessary_brace_in_string_interps"
"info","Use interpolation to compose strings and values","lib\screens\ocr_reader_screen.dart:28:23","prefer_interpolation_to_compose_strings"
"info","Unnecessary braces in a string interpolation","lib\screens\onboarding\goals_screen.dart:64:25","unnecessary_brace_in_string_interps"
"info","The import of 'package:flutter/foundation.dart' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/material.dart'","lib\screens\personal_info_screen_new.dart:1:8","unnecessary_import"
"info","Don't use 'BuildContext's across async gaps","lib\screens\premium_screen.dart:508:9","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check","lib\screens\premium_screen.dart:518:30","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check","lib\screens\premium_screen.dart:530:30","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check","lib\screens\premium_screen.dart:544:28","use_build_context_synchronously"
